material_id,formula,exfoliation_energy (J/m^2)
1505,AgF,0.8511544883267681
3278,In2MgSe4,0.2877714148613256
2769,HfSb2,0.3413135962243585
1760,S2Tc,0.3317508479100075
490,Ga4O3,0.6186590396051814
5058,Co7FLiO7,6.661390913271708
828,AlSe,0.3032243400979974
1664,BTe,0.3105809025872481
4708,ClOY,0.25969936443909414
4178,C2HO3Sn,0.38566765088161226
3110,MgSb2,0.5378665184816716
2901,BeBr2,0.18044728883754
3554,Li2O5Te2,0.4635933241874765
5754,O2Sb,0.4988445590299595
1484,BrTe,0.30044769419270206
3305,Fe2Ga2S5,0.3409693508341363
4585,MnNb2O8Zn2,1.5895041089529107
3036,Bi2O6TiZn,2.8924217831442753
2147,Ga2Se3,1.2919657703246112
3430,NiTe2,0.669498761900504
4259,Se2Ta,0.3188976518854251
35,I4Si,0.49281592048524203
2124,PTe,0.7482036831149202
2859,BiZn3,0.8867291835425449
1683,F3Tc,0.1543791332836657
1486,Se2Ta,0.44541541679588437
3799,BiFO,0.6120654862005794
4284,C4N4PtTl2,0.47515071107804924
112,Cl2Ta,0.3412774673981091
3330,MgSn,1.0237454363998189
1863,Cl8V3,0.33306166484953964
3967,BrFSn,0.3887615793288777
3812,CoTaTe2,0.3906656964801599
2424,Cu2Se,0.2674330343048139
49,ClHf,0.33099539490610375
4421,MnO8Ta2Zn2,1.5547528279767322
4482,H2Ca3O6,0.9649801909675182
5520,Bi2Pd,0.6929230853680028
556,Br3Ga,0.054662196019935584
2930,InS,0.4872723491560441
1530,BiF3,1.0131362832781978
4960,HCuO2,1.0543294213415482
3984,F9Fe2Li3,0.8087142405906468
5681,F6Fe3LiO2,1.8457864663755368
2613,AsBr3,0.2588693644906135
3455,Fe2KSe3,0.5265945691055337
3154,LiMnTe2,0.45639245318375976
5882,CrLiO13P4,0.5900646952175124
4580,CdMoO6Te,0.5443224365518252
3805,O2Ti,0.05535150714550517
2287,Cl4Ti,0.00021289244556090564
2365,BaCl2,0.22433731134435064
