ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),sum:thermal_conductivity (W / m / K),ave:bulk_modulus (GPa)
3195,0.554159417811467,31.0,8.0,172.0,3.0,3.0,1883.0,8.0,0.0,6000.0,0.0,0.942362,0.942362,544.5,209.6,25.52,35.38,87.0,437.0,8.0,0.0,87.0,437.0,25.52,32.0,31.0
1118,0.35452767010983827,7.7,0.205,10.5,4.0,2.5,717.824,13.6025,33.715442249999995,1500.0,2.25,1.1784135150000001,2.07710403,386.0,277.17,22.7,16.755000000000003,90.0,403.5,27.0,0.8076446417509654,94.0,405.9,16.8935,54.41,163.85
1188,0.2461839158071697,7.7,0.449,41.95,5.0,4.0,457.5,20.83675,143.76301875000001,4100.0,3.0,2.3692776,3.0590368,386.7,106.757,54.43,38.417500000000004,92.5,446.3,82.0,1.42730326195392,97.0,449.075,47.5075,166.694,25.573232210133952
2939,0.0210752209962114,76.10604085052228,0.02658,15.579091192355275,4.0,2.8,90.19,32.815948000000006,1.6701705600000023,1100.0,2.16,0.9966681,1.4611135,54.8,243.0,29.378,20.872,92.19999999999999,350.0,82.0,0.32356429437173995,101.0,388.52,28.3228,328.15948,77.34079604652769
1096,0.3662441678345755,43.0,3.0,49.8,4.0,2.5,1263.0,24.5,0.08702499999999996,5700.0,2.25,1.1739380000000001,1.970876,576.6,182.2,26.32,31.235,85.0,434.7,46.0,0.6351101758440001,92.0,440.85,26.025,98.0,54.0
270,0.45345874773192335,65.0,3.0,49.8,4.0,3.0,1263.0,16.5,0.025668750000000136,4875.0,3.0,1.558657,1.970876,722.7,196.6,25.73,29.8675,82.0,317.0,57.0,0.509773511883,92.0,414.5,25.6375,396.0,98.75
4348,0.40309061761457,46.0,0.0277,6.54,5.0,4.4,85.01,7.02216,6.978050559999999,1560.0,1.44,2.7923003920000005,3.4011897000000006,53.53,79.335,31.304,19.200000000000003,98.00000000000001,336.4,35.0,1.482984757586876,102.0,355.06,29.9832,35.1108,46.639151597810134
1972,0.23181734615728747,1.1,0.0089,20.41,5.0,4.5,238.6,12.506675,16.24827768749999,1750.0,0.75,2.91054375,3.612725,172.2,121.302,33.949,27.1675,96.5,394.7,50.0,1.4791755235546877,99.0,401.775,31.62175,200.1068,6.325
5942,0.0498211347667363,57.36488287770901,0.02583,20.055855572740406,3.0,3.0,77.4,0.02583,0.0,500.0,0.0,-1.4,-1.4,63.29,472.44,29.124,22.68,100.0,366.0,0.02583,0.0,100.0,366.0,29.124,0.02583,57.36488287770901
2094,0.6634095066880059,1.9,0.12,29.56,5.0,1.6666666666666665,331.9,93.37333333333333,500.5447999999999,2633.3333333333335,5.555555555555555,1.4864800666666667,3.3635882000000006,265.9,107.5,75.69,48.22,40.0,298.3,140.0,1.761767472113076,98.0,338.5,44.05,280.12,4.833333333333332
