,exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
1955,3.010597887585316,3.0154,13.8,129.2047228336896,211.0,17.020000000000003,28.578690232000003,9188.04,87600.0,35042.342416,5001.318400000001,299.42841599999997,40000.0,2073600.0,11131.938064000002,239640.39892614982,0.0069422224,0.3928194928002956,0.4133197297130158,0.520617915491985,0.4801662798453833,0.4263010234410844,0.5447375544914901,0.5418701791944583,0.5070696493732532
5208,0.7278671506218484,4.939375,13.25,135.13975885528,183.625,14.1,28.628001975,7223.2,14700.0,1361970.705375,204187.134375,16210.928343750002,207500.0,797343.75,305000.67676874995,1057403.9703492944,28661.404164208594,0.6504709010871113,0.5599681084600587,0.6749303901271738,0.6101358107548078,0.5951842618167175,0.6592703463122405,0.6574582226812129,0.6604155037005415
1792,0.39215295184029775,5.074999999999999,18.0,127.75,218.75,13.432500000000001,37.044025000000005,40787.776,56800.0,930058.6753080001,60705.1875,20604.796875,1080000.0,1801875.0,570288.0,837561.3473228143,1649.5316296874998,0.6931891825151425,0.5499561171393603,0.7222135732730883,0.611603882953665,0.6263715283356833,0.5528758481462752,0.5518837810905501,0.6209218732101609
325,0.39796706807533705,5.295,41.5,150.5,239.5,14.7,96.8157975,20514.0,33600.0,694722.25,51756.25,17371.239999999998,122500.0,1440000.0,85527.0025,324147.04821175255,72.25,0.63747257576543,0.6599629344355704,0.6389167331092765,0.6689865538132121,0.6087182412660919,0.5541622843013562,0.5529446317805097,0.6057144419005239
870,0.37460032114873004,2.06775,19.5,140.267710626336,183.75,17.425,44.688802370000005,4326.06,15800.0,623117.3512687499,45719.707500000004,6673.611675,7680000.0,676875.0,135586.71316875,65952.89427386742,107.750843866875,0.3208719337358579,0.4202157250434255,0.3617240000986462,0.35454311999573707,0.4006111901567817,0.4854537523405931,0.48267202625182937,0.42667476958699535
3064,0.7216739605683066,4.693333333333333,22.444444444444443,132.55555555555554,220.0,13.277777777777777,47.834,11301.119999999999,12600.0,610279.7903644445,16211.358024691357,10869.954320987654,3695555.555555555,200000.0,19970.559728395063,193217.33949273816,2283.011611111111,0.6811179898037889,0.6186646281798729,0.7680746254989149,0.7006330687606972,0.6245316059033109,0.6130833760746016,0.6117910127867032,0.7231435274428024
3911,0.4222472061592738,4.291666666666666,26.0,135.16666666666669,226.16666666666669,17.033333333333335,59.87480166666667,17980.0,128000.0,192406.80555555556,14400.555555555555,1760.938888888889,2812500.0,272222.2222222222,9338.40138888889,1451475.8976975223,290.8810688888889,0.45999501536300413,0.41668213671527177,0.5494939957518687,0.4927807752504686,0.4670191650776332,0.529049390133669,0.5266788943808369,0.480701436147954
1605,1.1033794692710646,5.926666666666666,50.33333333333333,154.66666666666666,236.33333333333331,17.1,121.02273333333332,5011.0,11200.0,331840.8888888889,3755.5555555555557,9275.22,642222.2222222222,2722222.222222222,58345.27999999997,22.22222222222222,40517.555555555555,0.5434147877599484,0.4936439473753973,0.5511969599937041,0.530045213886753,0.5370173595612683,0.539088956857817,0.5373241206010879,0.5175626824951585
4288,0.3916216739792485,3.1723636363636363,23.81818181818182,146.69194204466058,192.90909090909093,13.396363636363636,55.852909090909094,15124.52,14200.0,5096924.35162314,104737.32694214878,96226.15654157104,6198347.107438018,2109917.355371901,1917812.7386776858,3551871.719008265,4292.206016495154,0.5939099018484709,0.7890991890215933,0.36917926450193966,0.5213877267268532,0.547889064599447,0.5064566629871641,0.5049517478016481,0.5518936710143127
1635,0.35971268448264687,5.319999999999999,19.333333333333332,141.56921159544166,214.99999999999997,14.876666666666665,40.96536666666667,6844.4,12200.0,1627689.102222222,83204.80222222222,22982.250688888886,568888.8888888889,2135555.555555555,851773.5199999999,7306390.222222222,1963.1837509355553,0.6294054139289562,0.5507155226951048,0.5981511538019603,0.5603949413363496,0.5852383156293768,0.5519431034472615,0.5505536312736761,0.5473202049339961
