2dm_id (unitless),exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity
4570,1.6180771443678197,3.8921818181818186,14.545454545454543,140.67363110725984,194.0909090909091,11.718181818181817,30.997090909090915,27222.66,26600.0,2362778.7752958676,124725.80595041323,33315.6947007251,1142644.6280991738,1208099.1735537192,730194.2988429753,3338894.8347107433,23122.12605241239
5938,0.9642940204906203,10.2,49.0,166.0,246.0,15.7,114.818,4706.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5459,0.349440971473859,7.319999999999999,56.72727272727272,149.28883092255523,242.18181818181816,20.827272727272728,137.28599363636363,21254.6,54000.0,5337800.031404959,55054.413223140495,101093.8327272727,1595206.611570248,119008.26446280992,1633916.8456198345,2405.815734151186,634.1184637024793
3659,0.6468774111757867,8.542,36.8,142.4,234.8,14.22,84.54514800000001,25808.6,71200.0,3950025.026400001,197435.76,92345.3016,9525600.0,1881600.0,1216080.24,4056.0,686.4264959999999
2319,3.5021056292550594,2.481333333333333,16.0,143.1342802076055,192.0,13.866666666666665,34.876,9850.14,8700.0,2017116.4657999997,26958.42,21690.405391154367,5120000.0,435555.5555555555,296860.8088888888,5740401.388888888,799.2913569992
3883,0.26554864552276514,5.004528666666666,2.0,94.83333333333333,173.5,12.349999999999998,3.6303333333333336,5130.2699999999995,19926.205835098564,2053008.970658333,267547.1973555555,34113.24743688889,89764.27310543456,427761.4155145761,873231.9490583334,30143088.888888888,972.7370178333332
5138,0.2559956002964354,6.255076923076923,11.76923076923077,137.47607025750648,190.0,14.243846153846157,25.437027483076925,9621.38,25800.0,801781.9153313609,262270.9562130178,8615.284639053254,246982.24852071004,907455.6213017751,360782.39010532544,1745276.2159821675,903.7486142698227
339,0.32643084342754825,9.6,36.33333333333333,164.37020542538664,237.33333333333331,22.266666666666666,82.90461333333333,4274.8,16400.0,2389443.7355555547,1293904.222222222,25303.500799999994,9388888.888888888,4108888.888888889,519588.18,153970.856448263,63.31875555555555
1386,0.2857335084837853,12.29,47.4,161.64375486983778,252.39999999999998,23.34,111.705018,17189.0,39200.0,2386694.94,1173245.04,25357.800600000002,5762400.0,1161600.0,475994.13359999994,27.916222756662464,65.74454424
3760,0.3396364859472983,2.2052,18.0,143.32085218684497,195.0,13.64,39.568038,4045.14,19000.0,148199.365464,14206.7736,67.90631354762397,1881600.0,2940000.0,257193.36959999998,2647254.0174625507,599.362249559136
857,1.2195664114152533,18.866666666666664,30.333333333333332,184.33333333333331,262.0,26.066666666666663,67.30533333333334,5422.0,6400.0,5066.888888888889,662016.8888888889,384.56888888888875,3555555.5555555555,802222.2222222222,9623.468888888892,33800.0,6883.555555555555
4792,0.5373354313512699,2.3574545454545452,27.09090909090909,140.3825928971318,193.0,12.509090909090908,65.39909090909092,10292.33,16300.0,2046710.9137140496,11482.364132231403,33844.459010440114,4625454.545454545,1288760.3305785125,904904.773368595,36044702.09504133,99.67781199084297
3491,0.3085505900500266,5.425,52.5,155.36979572486484,240.0,23.1,127.252235,13764.0,77600.0,162207.5625,1681.0,15.405624999999977,1000000.0,2500.0,28224.000000000007,115333.23248927922,1.6269002499999998
1606,0.42911110472382136,7.4,57.25,157.25,246.0,18.1,140.93696999999997,37948.0,78000.0,3687979.6875,32448.0,94040.10749999998,67500.0,1875.0,1215683.191875,117018.75,546.75
624,0.4406548835210921,8.05,49.25,156.5,244.25,18.075,118.92659249999998,35216.0,94000.0,2639532.0,83917.6875,74466.0075,5880000.0,2851875.0,763787.791875,141918.75,487.6875
3126,0.43586374868769595,7.38,50.8,162.4,243.6,18.58,122.48719999999999,8495.0,18700.0,285144.0,7100.16,7375.2216,38400.0,2018400.0,20657.237856000007,467046.0,1497.84
4136,5.8535349311749085,9.60109090909091,31.909090909090914,162.83713835167725,210.27272727272725,18.5,76.63218181818183,21322.28,44200.0,1005789.6982066114,4350360.461983471,8649.965782894413,5084297.520661157,4948099.173553718,218130.5732231405,926954.0454545454,12683.69925880076
5341,1.147183599547582,3.018,18.166666666666664,146.6342802076055,194.66666666666666,13.981666666666666,41.08900733333333,3858.76,8700.0,690209.9146888889,66156.37555555555,5632.9089305533125,821388.8888888889,2605833.333333333,304649.7080555556,3357945.833333333,8.336364999199999
4387,1.1983572474469562,3.5735384615384618,18.307692307692307,151.9701048070205,199.38461538461542,14.530769230769232,40.97938461538462,11076.52,9800.0,1057193.906769231,105005.36094674558,13403.242015510814,3066390.532544379,214792.89940828402,106165.0252071006,2571247.4437869824,3366.913948993231
641,0.43235520908138286,7.799999999999999,42.33333333333333,151.33333333333331,245.33333333333331,16.45,102.04716666666667,80288.0,171600.0,1266170.8888888888,52056.88888888888,37392.008888888886,35555.555555555555,500000.0,459073.61999999994,844999.9999999999,174.22222222222223
329,0.6244938949629851,5.5012727272727275,43.36363636363636,154.45883893971782,230.9090909090909,18.163636363636364,103.0760733018182,34684.04,67200.0,494374.0968743802,36273.48694214876,5294.7662876033055,6093223.140495868,537024.7933884298,107572.92945619836,52326.263225547715,85.48827282
5838,0.6136992828080459,4.333749999999999,46.5,143.75,225.75,15.3,111.82969937500002,27306.648,78800.0,164739.9057309375,12733.75,3267.5818750000003,6814375.0,1359843.75,94925.87584375002,1256744.1697669048,255.61145898437502
1816,0.8543557746745483,6.566666666666666,60.0,152.33333333333331,240.66666666666666,15.299999999999999,146.2013333333333,23748.0,47700.0,1067747.5555555555,256.88888888888886,16781.120000000003,1280000.0,7220000.0,289357.60222222225,121688.88888888888,512.0
982,0.375994430746445,3.3866666666666667,37.666666666666664,146.902544928775,212.66666666666663,15.866666666666664,89.28885633333331,7114.4,6000.0,1794123.102222222,24185.335555555554,22697.281799999997,35555.555555555555,0.0,301802.34319999994,522923.5555555555,22754.28979538
846,0.2774005373570088,3.285,25.5,150.2653630448719,216.0,18.625,57.0275,10495.2,25600.0,522543.0675,31043.926875000005,5728.414518749998,7680000.0,1080000.0,100384.666875,1936836.75,107.91991485187499
