# c0 + a0 * (var:melting_point + ave:boiling_point) + a1 * (var:melting_point * ave:atomic_radius_rahm) + a2 * sqrt(var:melting_point) + a3 * (ave:atomic_radius_rahm^3)
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 12.5731397937344; Max AE: 35.4224181258769
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.156799948231139e-04, -1.912204993566662e-06, -9.310746788328456e-02,  2.171628749439707e-05, -4.891999568544996e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; temperature;                                      14|5|add; (var:melting_point + ave:boiling_point); $\left(var:melting_{point} + ave:boiling_{point}\right)$; (var:melting_point + ave:boiling_point); var:melting_point,ave:boiling_point
# 1;  1; length * temperature;                             14|2|mult; (var:melting_point * ave:atomic_radius_rahm); $\left(var:melting_{point} ave:atomic_{radius, rahm}\right)$; (var:melting_point .* ave:atomic_radius_rahm); var:melting_point,ave:atomic_radius_rahm
# 2;  1; temperature^0.5;                                  14|sqrt; sqrt(var:melting_point); $\left(\sqrt{ var:melting_{point} }\right)$; sqrt(var:melting_point); var:melting_point
# 3;  1; length^3;                                         2|cb; (ave:atomic_radius_rahm^3); $\left(ave:atomic_{radius, rahm}^3\right)$; (ave:atomic_radius_rahm).^3; ave:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
43          ,  9.003176998171779e+01,  7.383464294450673e+01,  2.105127827760000e+05,  4.040256037505760e+07,  4.580114155520580e+02,  7.144450776000002e+06
70          ,  5.876522370994315e+01,  6.251822190596569e+01,  1.779150602736000e+06,  3.509150720484865e+08,  1.333298641991358e+03,  7.692038424000001e+06
89          ,  1.845971359160373e+02,  1.765861511266354e+02,  2.258403686400001e+04,  4.773076934553601e+06,  1.464980438913776e+02,  1.100029542400000e+07
83          ,  8.685815788108755e+01,  1.222805760069644e+02,  1.456242356000000e+05,  3.058419336192000e+07,  3.805410905539637e+02,  9.420668927999999e+06
123         ,  2.218543389191891e+02,  2.069055579700935e+02,  1.154955776000000e+05,  2.718340675776000e+07,  3.382429269031357e+02,  1.341341337600000e+07
129         ,  7.058438955216727e+01,  6.520479084909934e+01,  2.562302516560000e+05,  4.832528343811519e+07,  5.053899936247254e+02,  6.772724287999999e+06
8           ,  1.379771288780131e+02,  1.576171228001567e+02,  3.173267313600001e+04,  6.702201897139203e+06,  1.756624124165441e+02,  1.024659244800000e+07
13          ,  6.359044555550145e+01,  6.319637124249807e+01,  1.103847228336000e+06,  2.180861492996608e+08,  1.050028044547383e+03,  7.738893352000001e+06
108         ,  2.276117669121919e+02,  2.130075380265482e+02,  1.164630464000000e+05,  2.762140376015999e+07,  3.396728225807887e+02,  1.372057898400000e+07
114         ,  1.245825633863354e+02,  1.043520038682690e+02,  5.954099344000000e+05,  1.297167523340800e+08,  7.710289063323113e+02,  1.038877256800000e+07
3           ,  1.766257549836612e+02,  1.734906655782526e+02,  2.533852640000001e+04,  5.469376491520002e+06,  1.570319916450148e+02,  1.091150423200000e+07
17          ,  1.154201413293227e+02,  1.264557959809431e+02,  2.133542864000000e+05,  4.572880102655999e+07,  4.607571230051685e+02,  9.993948264000000e+06
38          ,  2.142336089710759e+02,  2.064426261365005e+02,  1.796914240000000e+04,  3.967906034400000e+06,  1.310613688315516e+02,  1.232639100000000e+07
72          ,  1.505744324222536e+02,  1.334962656185328e+02,  3.857500384000000e+05,  8.624480275727999e+07,  6.202241356155047e+02,  1.126955648800000e+07
120         ,  2.717063705144595e+02,  2.544623809543262e+02,  7.512311840000001e+04,  1.846280156256000e+07,  2.726295992734464e+02,  1.532691590400000e+07
2           ,  5.771548700058894e+01,  8.286737965226681e+01,  6.998841796000000e+05,  1.459028973772800e+08,  8.359238395930577e+02,  9.103145472000001e+06
122         ,  2.014000729838491e+02,  2.034131607995912e+02,  9.511596000000005e+03,  1.972069224000001e+06,  9.279900861539419e+01,  1.200898900000000e+07
50          ,  1.144884087492389e+02,  1.221642780496357e+02,  2.141078240000000e+05,  4.557943704319999e+07,  4.617220635837105e+02,  9.772892072000002e+06
