2dm_id (unitless),bandgap (eV),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity
3975,1.9854,4.17625,28.5,152.2508876946302,201.5,15.4,68.22785,972.11875,69.06627553157642,28400.0,1530691.2834609374,162626.08359375002,4179375.0,5426093.75,373314.0875,1652892.08984375,53.77984683509375
4984,0.0,6.24,42.2,145.4,233.60000000000002,14.520000000000001,98.86936,2088.8,106.4,15700.0,615084.96,2046.2400000000002,6386400.0,2318400.0,217752.2904,1135824.0,1633.44
4289,0.4016000000000002,3.4741428571428568,10.642857142857142,141.62948448590532,188.92857142857144,14.085714285714285,21.95702042857143,459.2042857142857,62.0681691181929,30000.0,525309.6059387755,125629.21454081633,653469.387755102,3837397.9591836734,119415.19200663266,3980228.961771955,10739.835345024581
3251,0.0,8.466666666666667,59.33333333333333,166.66666666666666,246.66666666666666,18.866666666666667,147.42193333333333,1709.6666666666665,35.666666666666664,31800.0,60088.88888888889,2990.222222222222,0.0,6722222.222222221,31668.055555555555,1757187.5555555555,5134.222222222223
5409,0.5116999999999998,5.1642,13.2,140.72085218684498,191.2,11.72,27.973358199999996,1108.829,100.76362451031336,15200.0,1863939.4326689998,179027.5716,1563600.0,1760100.0,587479.700409,5475361.5,2239.022173559136
3822,1.6514,4.318181818181818,34.0,140.36363636363637,225.27272727272725,15.445454545454545,79.0611990909091,1096.5403636363635,21.29090909090909,26400.0,350238.2099940496,37499.239669421484,4783636.363636363,4609090.909090908,67910.74330578513,1319567.659905283,687.7200061983472
3675,1.8584999999999998,5.239999999999999,61.99999999999999,152.82639429981975,235.0,22.066666666666666,151.46698,514.91,13.466666666666665,15300.0,6591.816200000001,3253.555555555555,80000.0,642222.2222222222,5162.634755555555,787274.0149250416,13.697378000000002
4096,0.03949999999999998,3.9459999999999997,36.5,151.60071015570415,204.25,14.9,87.21165,1137.095,70.80302042526114,15000.0,1141310.5790249999,45784.52249999999,3991875.0,5205000.0,233922.29499999995,963264.0625,34247.8396666241
5417,2.3876999999999997,2.0956470588235296,16.823529411764707,142.85990964990046,185.23529411764704,13.570588235294117,37.913000000000004,847.5363529411765,102.63403123863468,29000.0,3443816.6986344643,42732.481245674746,802491.3494809688,801038.062283737,1178961.3483737023,2846198.769826295,238.67110887547682
4039,0.6776,3.8015000000000003,16.5,144.4010652335562,189.25,12.85,35.98675,1288.8925,114.57953063789171,7800.0,4310663.050518749,192520.666875,676875.0,4320000.0,1507192.32,6466173.046875,3621.3021499680744
3789,4.554,1.8631974545454546,10.363636363636363,119.16415284051212,180.36363636363637,14.5,22.035411272727274,235.07999999999998,54.14752013698908,43684.49708962107,101395.94432727272,15104.32974214876,1683594.725128184,3129485.240086389,32862.659923966945,1769753.407939258,775.5267522044561
3842,2.4755000000000003,2.916615384615385,21.076923076923077,146.12395096086664,195.23076923076923,14.376923076923077,48.35833753846154,830.5015384615384,89.52679436955216,18900.0,1203150.1860591716,48002.15147928995,1459408.2840236686,3379408.284023669,380017.45692307694,2739396.7455621306,1281.5452351470772
5072,0.9227,4.31419825,10.75,118.75,212.5,12.6,21.315749999999998,1976.07,89.19990988154942,35271.12427240527,1275038.1747,17043.04126875,254234.16349593244,1108582.9681254535,522286.42876875005,162168.75,4208.602983796875
4751,0.0,4.464526315789474,12.736842105263158,142.34834021306884,196.57894736842104,12.215789473684211,27.033473684210527,1214.3405263157895,102.59887005562051,52600.0,2738047.8792681443,190226.4194459834,1693961.218836565,1817119.1135734073,957577.9199999999,3888938.7465373958,207.2839729272
5535,1.5337000000000003,4.460000000000001,33.0,140.4,226.60000000000002,15.920000000000002,76.0601524,893.0600000000001,15.580000000000002,20600.0,29867.802400000004,5704.96,38400.0,3325600.0,7944.181600000001,309924.2979555286,1491.54739456
5543,0.4231,19.908,30.0,177.0,229.0,25.14,66.891958,1451.8000000000002,46.04,26400.0,967424.56,3004155.8399999994,590400.0,2969600.0,311166.77760000003,547106.2309655407,501.44
3148,0.04490000000000016,2.9879999999999995,21.333333333333332,148.8009468742722,193.33333333333331,13.7,48.13733333333333,406.12666666666667,64.73736056701485,2700.0,199631.95468888886,33505.97555555556,320000.0,142222.22222222222,64632.108888888884,882234.7222222222,2089.7431525547554
4233,3.4976000000000003,7.217333333333333,21.333333333333332,155.25224281649608,217.66666666666666,17.5,46.95296933333333,1175.363333333333,45.002013616840756,18600.0,1869556.9833555557,483825.7755555555,4186666.666666666,6968888.888888888,615106.8288888888,3744625.439565792,56.37036375475555
3690,2.4231000000000003,4.2602,11.0,141.62085218684498,190.89999999999998,13.82,22.842752400000002,560.529,62.96362451031336,23000.0,683435.524069,166793.1016,724500.0,3768900.0,154050.35744899997,4384289.370472213,14364.132219427935
3950,0.0,11.577176470588235,36.294117647058826,151.1552334711639,240.41176470588235,18.98235294117647,84.45880588235295,2553.6582352941177,29.900355344148373,200000.0,3512313.072379239,1355495.8708650516,13476747.404844292,2666159.169550173,1543173.6659515572,34360604.41849729,2562.458091753988
3875,2.4013,3.4426666666666668,35.33333333333333,153.22397539732575,207.16666666666666,18.25,85.24697833333333,645.6783333333333,55.33635375859447,58400.0,478860.6495805555,49938.67805555556,4288888.888888889,5748888.888888888,71047.6225,1448502.3568643653,8.508624359655556
3249,0.0,5.941400000000001,24.0,153.6409942179858,199.2,15.35,56.150876000000004,1368.4330000000002,100.52227601200408,12300.0,4901090.789781,938602.8548999999,1484100.0,3090900.0,1613761.4784,2581650.212533339,549.7356895642441
3912,4.1262,13.2885,21.5,169.85071015570415,203.25,24.25,48.09684874999999,504.345,44.17802042526114,41200.0,172427.489025,3912428.7225,5216875.0,5562500.0,180047.52749999997,1841279.917257591,736.2825166241
4814,2.2241,5.062298833333333,20.166666666666664,141.2008285149882,191.66666666666666,15.141666666666667,46.96039666666667,1143.7408333333333,93.23516993103635,19371.124272405268,4336675.173624305,817670.5924722222,1975030.1060960076,3036590.2384672253,1429811.1656805554,2152324.463062794,488.281375812875
5735,0.0,5.905363636363636,11.545454545454547,136.74229992537602,183.1818181818182,14.554545454545455,24.905529283636362,773.7609090909092,57.235688770985334,39000.0,1099685.4869900828,277580.38611570245,283801.652892562,1084462.8099173554,246717.17503636357,1424037.3175543786,22625.40376433157
3678,0.5503999999999998,4.628,31.199999999999996,139.0,225.3,15.58,71.41375239999999,1204.76,29.099292884053582,22100.0,520709.4084,16111.29,164900.0,2726100.0,79312.03353599999,556233.6450136447,14314.577474560001
3628,1.7883999999999998,4.64,33.0,138.66666666666666,229.66666666666666,14.399999999999999,75.50753166666667,1645.6999999999998,42.279312901202594,43200.0,1062985.0466666666,3242.0,1646666.6666666665,2802222.222222222,99312.07999999999,820898.821412811,676.2378666666666
3928,1.1225999999999998,5.51875,39.875,158.47206758629997,230.875,21.575,93.243,1104.4375,39.002477306998244,51400.0,1950671.06484375,144794.484375,33593.75,2234843.75,364075.26609375,186112.86435076312,54.694
4408,0.7400000000000002,3.9124444444444446,13.555555555555554,141.91205798538329,193.66666666666666,11.778888888888888,28.651798666666664,884.0155555555556,95.18180501145929,9300.0,1297658.7660469133,92273.65950617284,735555.5555555556,1340987.6543209879,645019.9298765431,5816789.043209876,846.5680827275951
5400,3.4210000000000003,3.881333333333333,19.5,150.98584473670462,192.25,17.733333333333334,44.30793160666667,270.8433333333333,53.18736056701485,39600.0,95773.87618888888,186199.89638888885,3547500.0,3466875.0,23917.93783055555,1933614.443371512,1494.2235679355888
4007,2.5377,6.4472,15.8,150.72085218684498,195.0,15.120000000000001,36.507400000000004,530.344,60.86362451031336,14600.0,292701.467824,292989.6456,1382400.0,3985600.0,84540.37225600002,4965247.5,1136.4787999591363
4743,0.0,4.404,16.75,140.06216216207608,187.0,14.75,36.72554408,1318.8025,84.9259799612619,12000.0,4553963.12506875,238423.96687499998,10250000.0,11091875.0,1353791.479225,1465548.757988809,546.196775224075
3683,2.5369,2.368,22.666666666666664,150.8009468742722,194.66666666666666,16.166666666666664,53.19933333333333,481.12666666666667,72.40402723368152,15600.0,305662.9546888889,45864.10888888889,1280000.0,4302222.222222222,99131.20222222223,1167901.388888889,1.9647169991999998
3502,0.0,6.299999999999999,35.0,134.33333333333331,228.66666666666666,13.966666666666665,81.68929333333332,2377.8826666666664,71.79999999999998,3700.0,5511589.553550222,124002.0,568888.8888888889,3208888.8888888885,1847041.9999999998,40417.717711740115,716.8160055555554
3819,0.0,8.791636363636364,20.0,158.8105725019812,215.09090909090907,18.80909090909091,42.83,1088.6872727272726,58.1112875820081,23500.0,1146141.7644198348,890606.4770247934,2120495.867768595,5283305.785123967,303626.66000000003,2347134.3276853664,23793.640759903297
5413,0.7898000000000001,5.07,46.800000000000004,152.31106162761597,231.00000000000003,18.18,111.84808000000001,1033.8200000000002,18.3,29400.0,245056.5736,15426.56,1666400.0,4002400.0,12633.964000000004,373680.6277305549,1443.9132160000001
5279,2.5761000000000003,9.668363636363635,45.090909090909086,157.76168731450144,241.7272727272727,23.027272727272727,106.45889181818181,1284.1536363636365,23.0005491682293,64200.0,2041062.2551322314,1021896.7661157025,7431404.958677687,2019008.26446281,425665.1080991735,731454.4550907387,54.69576571143802
4369,2.6736,3.562798,7.142857142857142,130.9434658477464,185.85714285714283,14.028571428571428,14.088999999999999,433.87571428571425,61.70248594342316,19171.124272405268,346146.61671020405,77552.36646938777,4203689.5672916295,1753876.3174374953,159591.45602040814,3265185.204081632,5218.738838942383
4246,3.5429,9.617333333333333,33.33333333333333,158.31367058704598,227.66666666666666,19.833333333333332,77.26977,1386.2299999999998,41.60201361684076,30400.0,2497286.8824666673,1300063.0199999998,14428888.888888888,3082222.222222222,569084.7266666666,1969612.4701532049,62.467891794755545
4229,0.6249999999999996,8.0335,12.0,143.85071015570415,194.75,12.05,25.621000000000002,1034.6325,75.80302042526114,22000.0,1262567.5636187498,332387.5225,976875.0,2291875.0,283238.33826874994,5727751.5625,27101.464851624103
