,bandgap (eV),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
5700,2.6038,8.1335,17.5,151.60071015570415,202.0,14.875,40.1745,801.6325,51.30302042526114,23600.0,584133.30861875,323645.5225,9127500.0,2802500.0,128898.19551875,5655564.0625,1206.9633716241,2.025995200751188,2.2171050831411567,2.3452626216763983,2.183505746421589,0.9593971086442008,1.0320929532654644,1.5922370457749175,1.6426637261190042
5019,1.2679,3.24,21.88888888888889,146.38630241690416,212.22222222222223,17.61111111111111,47.955,661.8,26.966666666666665,31600.0,798932.7288888887,29724.853580246916,242469.13580246913,1479506.172839506,271976.7817283951,2477010.172839506,626.9340655424692,2.2636549556619854,2.250673003620298,2.411576134666301,2.347321695716406,2.449254172879235,2.618339119595434,2.5104314467135116,2.5718210235318217
3728,0.0,6.533333333333333,49.666666666666664,151.33333333333331,238.99999999999997,16.433333333333334,119.3685,2175.333333333333,170.0,9000.0,1664704.222222222,12481.999999999998,20000.0,2135555.555555555,510925.7088888888,970688.8888888889,4802.0,0.5100628067817787,0.3925554309909476,0.4347086375306519,0.34003912048101137,0.7484285400977457,0.7445373590649682,0.6916885871714951,0.5079815971660546
3412,4.9775,7.3100000000000005,22.5,155.0153630448719,223.0,18.974999999999998,48.81396,1081.7,11.075,28600.0,2132452.83,1174595.326875,12916875.0,480000.0,493777.4699999999,1794906.75,54.130777351875,1.6226922446100502,1.5204943028658233,1.6785781598879312,1.7338014861981574,1.8243018663498995,1.9641467202709033,1.9608572198110865,2.0222321717940073
4657,0.7240000000000002,7.34,52.0,157.33333333333331,244.33333333333331,18.2,126.91999999999999,2270.833333333333,77.75632311726795,40600.0,2498346.8055555555,49878.13888888888,768055.5555555555,1601388.8888888888,425009.88222222216,1041347.2222222221,443.4722222222222,0.43281093222644706,0.31984819011865095,0.41641069432864164,0.3943261589922544,0.8517362222811686,0.9274186178893316,0.8494514031800342,0.6717742598248132
5471,2.4812,4.7972,25.600000000000005,152.12085218684498,203.8,14.18,60.61279999999999,1168.714,76.86362451031337,5300.0,1984141.927864,217878.02160000004,726400.0,349600.0,530076.7564000001,2191753.5,211.476555159136,1.5118444988726605,1.4276811938522087,1.5761615998471168,1.4770596383867454,1.2072475686205948,1.3043275149660225,1.8038177509109226,1.7191408926067093
4615,0.0,5.344444444444445,20.444444444444443,126.55555555555556,219.33333333333334,11.766666666666666,42.63111111111111,1742.3466666666666,79.83333333333333,26200.0,1312058.3681422225,41102.222222222226,713580.2469135802,39506.17283950617,499280.0,289883.81828524475,1572.1585246913583,0.8919790181999971,0.7393000666053045,0.8386006570490023,0.9438454442370166,0.7643413230367022,0.8194441304213648,0.44601922705346997,0.3219550947389498
5698,2.9438999999999997,2.8651999999999997,31.0,152.92085218684497,198.7,15.440000000000001,74.9654,729.7964,60.23362451031336,23600.0,739455.58570464,53737.1256,993600.0,338400.0,61595.245125,1096272.469505107,256.487889941136,2.1442941827829847,2.007126420046148,2.182596131433673,2.1127704116090764,1.6195244207509867,1.736767414973062,2.255412878018382,2.212112892178328
4055,0.11639999999999961,3.501333333333333,14.166666666666664,140.46761354093886,189.0,11.721666666666666,29.923016666666665,1024.2933333333333,100.73736056701485,13400.0,1746016.8246888889,65549.20333333334,948055.5555555555,1738888.888888889,683408.3522222221,4843943.055555555,21357.637819221418,1.699118599708699,1.7713702759300771,1.3265371428935957,1.2511960743609851,1.543524204097921,0.8743858275410514,1.0680886136680208,1.003186092871907
3563,0.0,4.253333333333333,20.0,140.23587826210832,212.66666666666663,14.833333333333332,42.248333333333335,1166.7333333333333,57.4,5400.0,1722862.9688888888,45180.18,180000.0,35555.555555555555,594631.4755555555,4917247.999999999,1421.9057953799997,1.514305378861236,1.5658397991948654,1.6810152459326613,1.5308433675118964,1.7289642196954076,1.8411827588655627,1.7174208443932575,1.6657611210564656
