# c0 + a0 * (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)) + a1 * (cbrt(var:c6_gb) / ave:atomic_volume) + a2 * ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)) + a3 * ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume))
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 9.27453133483869; Max AE: 22.3173272639586
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  5.625990315322635e+03, -3.567568953522600e+01, -5.442067807826219e-01,  2.187059985842607e-03, -8.843615884778849e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; energy^0.333333 * length^-6;                      11|cbrt|3|2|mult|div; (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ \left(ave:atomic_{volume} ave:atomic_{radius, rahm}\right) } \right)$; (nthroot(var:c6_gb, 3) ./ (ave:atomic_volume .* ave:atomic_radius_rahm)); var:c6_gb,ave:atomic_volume,ave:atomic_radius_rahm
# 1;  2; energy^0.333333 * length^-5;                      11|cbrt|3|div; (cbrt(var:c6_gb) / ave:atomic_volume); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ ave:atomic_{volume} } \right)$; (nthroot(var:c6_gb, 3) ./ ave:atomic_volume); var:c6_gb,ave:atomic_volume
# 2;  2; length;                                           14|2|mult|14|10|add|div; ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)); $\left(\frac{ \left(var:melting_{point} ave:atomic_{radius, rahm}\right) }{ \left(var:melting_{point} + var:boiling_{point}\right) } \right)$; ((var:melting_point .* ave:atomic_radius_rahm) ./ (var:melting_point + var:boiling_point)); var:melting_point,ave:atomic_radius_rahm,var:melting_point,var:boiling_point
# 3;  2; length^3;                                         2|sq|3|cbrt|mult; ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume)); $\left(\left(ave:atomic_{radius, rahm}^2\right) \left(\sqrt[3]{ ave:atomic_{volume} }\right)\right)$; ((ave:atomic_radius_rahm).^2 .* nthroot(ave:atomic_volume, 3)); ave:atomic_radius_rahm,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
141         ,  5.908637035915022e+01,  5.644566554732968e+01,  2.547509434999531e-02,  5.003308530339080e+00,  5.161604614370899e+01,  9.517136051750412e+04
79          ,  6.172344219415545e+01,  6.422557543397562e+01,  3.430561093546099e-02,  6.799372087408369e+00,  5.215595338173084e+01,  1.054450321453658e+05
91          ,  7.059248384925451e+01,  7.498145394103700e+01,  1.192840771532877e-02,  2.261626102826336e+00,  3.200553178279918e+01,  8.889157401789959e+04
41          ,  8.588925575648324e+01,  8.014874125291087e+01,  3.338343621497911e-02,  6.369559629818014e+00,  3.683672843346545e+01,  1.042747990288935e+05
58          ,  2.413589823761019e+02,  2.477769930361263e+02,  2.071181566641601e-02,  5.107533743338188e+00,  6.393634371990405e+01,  1.996735618902142e+05
90          ,  1.323141358213091e+02,  1.379897664862992e+02,  8.431309283596611e-03,  1.829594114540465e+00,  3.506354072130189e+01,  1.204106475763750e+05
48          ,  1.506649136932021e+02,  1.464018711324281e+02,  3.070897349160374e-02,  6.786683141644427e+00,  3.593248182805156e+01,  1.480270068562654e+05
88          ,  1.252802886728060e+02,  1.211286374550344e+02,  2.583760197357262e-02,  5.642932271028260e+00,  5.787592469109642e+01,  1.358054512365754e+05
21          ,  7.298106977000764e+01,  8.775302983180291e+01,  1.819395092631397e-02,  3.733398730079627e+00,  3.487170931793605e+01,  1.033347018863099e+05
57          ,  1.280373015126955e+02,  1.072759928392731e+02,  2.735405461991375e-02,  5.985067150837129e+00,  6.791492819270722e+01,  1.336495885628796e+05
75          ,  9.416246053996997e+01,  9.280554902036880e+01,  3.626595625465141e-02,  7.079114660907956e+00,  3.650798791047377e+01,  1.141395216500329e+05
32          ,  2.470528593513509e+02,  2.511301170263417e+02,  2.314178518805519e-02,  5.604940372546968e+00,  1.551824104971183e+00,  1.875464984851679e+05
138         ,  6.719447744045841e+01,  6.844477398778440e+01,  3.416737794871568e-02,  6.423467054358548e+00,  3.410893316264378e+01,  9.710731569062440e+04
59          ,  7.370978119031361e+01,  7.657735658969797e+01,  3.386550610459066e-02,  6.441219261093143e+00,  3.975020304160411e+01,  1.032956462793708e+05
63          ,  9.527186437700378e+01,  9.476015660706277e+01,  1.070539308324489e-02,  2.055435471983019e+00,  1.767365669818312e+01,  9.415154616437886e+04
128         ,  1.127928271848657e+02,  1.075273105984623e+02,  3.035019591304617e-02,  5.936498320591830e+00,  1.468605340128155e+01,  1.120200102479848e+05
