material_id,formula,bandgap (eV)
3696,IrTaTe4,0.0242
4181,HgPSe3,1.3626
5206,I3Sb,2.109
5491,I,0.9824000000000006
5467,PPdS,0.0
4372,Br2CuO2Sr2,0.0
5497,CBi2O5,0.0
4944,CaI4Pb,2.9791999999999996
5633,LiO12P4Sb,4.6192
4156,F4LiO2Re,3.0970000000000004
4869,HAlO2,2.7775
3643,SSn,1.5596
3735,H8Al2Mg,4.6441
4961,CuI,2.0219
3952,Br2O11Te6,2.4001
3532,Al2MgS4,2.1091
3155,MgSb3,0.0
3515,BiS,0.0
5107,HO2Sc,2.1696999999999997
3130,MgSn,0.0
3202,CaMg,0.0
4535,S3SnTl4,1.0171999999999999
3006,PdS2,1.2153
5286,F4FeLi,3.2137000000000002
3273,N2Pb3,0.03100000000000014
5787,Ge2Se5Tl2,2.0827999999999998
5602,Cr4Li2O13,1.7403000000000004
3424,NiTaTe2,0.0
4272,CaK2N4O8,2.4073
5826,Br3Fe,0.04010000000000025
5367,Br6NaO2W2,0.0
5269,CCl8Sc5,0.0
4354,O8SeTe3,2.7611
3784,Bi2O4Sr,2.6793
3538,Cl3V,0.0018000000000002458
3579,BiITe,1.5743999999999998
3218,MnNaTe2,0.0
3617,BiI3,2.5333999999999994
3475,CuTe,0.0
5391,IOY,2.5913
4841,H4O4P2Zn,4.6409
3224,HNaO5Ti2,0.0
5396,I5Ta2,0.0031000000000001027
4694,H16Fe3O16P2,2.3251
4889,C2Cu2LiO6,0.0
3219,Ag2IO6,0.0
5472,H5W,0.0
3362,Br,0.0
3973,HgINO3,2.4063
3659,Nb2Se3,0.011499999999999844
3527,INZr,1.3413999999999997
3488,Ge3O9Sb2,3.9732000000000003
4400,H6FeO9P3,2.9352
4388,CuF4Li,0.0
4001,HCdClO,2.5717999999999996
5635,O5PV,2.5101999999999993
4527,Cl2O4Sr,2.8196999999999997
5763,Ca2MgO7Si2,3.1476000000000006
3800,HgPS3,1.9052999999999998
4177,CaO2,2.9144
2989,Te2V,0.0
4152,AlBMo,0.0
3751,ITl,2.7058
3519,GaSe,1.8934
2992,H2O3Ti2,0.0
5521,MnSnSr,0.0
5838,AsHg3S3Sb,1.4957000000000003
3046,CuNb2S4,0.0
3398,MoSe2,1.4237999999999997
3215,Se3SiTl2,2.1983
3866,F3PbRb,4.1895999999999995
4861,NbNiTe5,0.0
4013,Bi2O3,1.0835
4879,H3AlO3,4.412
5571,Br2Hg,2.0855
4738,BrOY,4.3099
5730,PtTaTe5,0.0
5734,Bi2S3,1.4830999999999999
3608,As2Ge,1.1962
3510,F3Tl,2.5628
3712,CaMnSi,0.0
3516,Cl2Co,0.10970000000000013
4247,BiIMnSe2,0.0017000000000000348
4235,S3Ti,0.27549999999999986
3681,I2Ni,0.14219999999999988
4652,AsLiO3,3.6967
5806,Bi2Ge3O9,3.9257999999999997
5247,S3Ta,0.0
5512,FeS,0.0
3366,NiTe,0.0
4075,O3SbTl,2.9522000000000004
4253,AgGeO3,0.0
4596,BrMnSbSe2,0.11529999999999996
4040,H16Mg3O16P2,3.7554000000000003
3096,Cu2Se4W,1.2721
4733,As2Ge4Te7,0.4222000000000001
4616,FTl,3.6288
3341,GeS2,1.4088999999999996
4701,HSi,2.1852
4948,CrSe,0.0
3861,Bi2O13P4,4.1929
4080,BrHgI,2.2285999999999997
3985,H2O7Ti3,2.9741
3133,Pb,0.0
5530,AgP2S6V,0.0
4690,BrOSb,1.7199
5282,F6Li2O3Ta2,3.8053
3983,Ba2LiN,0.0
5532,MgNaSb,0.0
4723,Br2NbO,0.8354000000000004
5654,Cl2Cu3O6Se2,0.058399999999999785
4639,H4Al2O9Si2,4.4814
3446,Bi2Se3,1.2773999999999999
5584,H4Mg3O9Si2,3.7282999999999995
3588,Cl2NSc2,0.0
2988,Al2S5Zn2,1.0572
2993,SeTi,0.0
3506,BrCu,1.599
3987,FeP2S6,0.06479999999999997
4902,AsHg3ISe4,1.7854999999999999
5846,HClZr,0.0
3346,GeHg2O4,2.4807
4032,F6PbZr,5.3222000000000005
3028,Ga2S4Zn,0.0
4930,IMnSbSe2,0.07380000000000009
4370,AgAuCl4,0.8121
4048,H2O5Si2,5.7003
4161,I2PdTe,0.5473999999999997
5577,BiLi3S3,2.7005999999999997
4330,F4V,2.3711
3418,Cl2CuO2Sr2,0.0
3024,NbTe2,0.0
3545,AlClO,5.8584
3957,Bi2O3,2.3691
3064,Ga2S5Zn2,0.0
3168,PtSe7Ta2,0.01440000000000019
3572,S3Sb2,1.2272999999999998
3081,PbS,0.9398000000000002
4251,Ba2CuO6Tl2,0.0
3343,Ga2Mg,0.0
3191,MgY,0.0
4377,H3AlO3,4.0626
4348,F4Pb,2.5194
3109,Se,0.0
4724,HCuO2,0.7427999999999999
5357,LiNiP2S6,0.03189999999999982
3062,PbSe,1.3248000000000002
5336,CuMoO4,0.4309000000000003
3833,CCuLiO3,2.0964
5048,CLi4O4,3.3461000000000003
5052,CrGa2S4,0.0
4236,Cl6HfTe4,1.1897999999999995
3857,BiBr3,2.9703
4016,Al2Mg2Se5,1.2614999999999998
3748,BrFSr,5.4039
4264,Sb,0.0
5423,B2Bi2O7,0.0
4210,F7KO4Re2,3.1559000000000004
3089,In2MnSe4,0.0
3142,Te,0.0
5291,C2H3KO3,4.6766
3310,CaIn2N2,0.0
3456,ClRhTe,1.1188
3584,H2CaO2,3.6708
3827,BrMoTe4,1.0144999999999997
4259,Se2Ta,0.0
5399,Bi2PbTe4,1.045
3288,CoGeMg,0.0
3177,Br2MoO2,1.1624999999999996
5495,F6TiTl2,3.8512
4457,H2O5Si2,5.6211
3326,Ga2S4Zn,1.1143
4850,AgI,2.0797999999999996
3073,SnZr,0.0
3886,Ba2O4Ti,1.9356
4630,Bi2O9SrTa2,2.2875
4413,HfSe2,0.6556000000000002
4892,BiS,0.0
4401,BrZr,0.0
3289,FeMg2,0.0
3217,CH,3.4891
4695,C4N4NiTl2,2.4819999999999998
3120,CdZr,0.0
5237,AgBiP2S6,1.4728999999999997
3167,F2O2Zn,0.0
3871,C2N2NiS2,0.2856000000000001
4441,O4SSn,4.1899999999999995
3768,As2O3,4.322
3266,OZn,1.678
3405,FIPb,2.3601
3501,O5PV,1.9341
3720,S2Ti,0.02619999999999978
4149,Li2O8P2V,0.0
3543,BS3Tl,2.1367000000000003
3150,CdHf,0.0
5174,C2MnO6,1.4049000000000005
5780,Ag2S4W,0.9264000000000001
3159,MnS4Sb2,0.9429000000000001
3698,F3Sb,4.5992
4744,As2Se3,1.6149
5516,CaGaN,0.0
4391,CdI2,2.4768
5554,Pt2S3Tl,1.662
3492,AsMnNa,0.0
5335,H3AlO3,4.2635
5262,H2CaO6P,0.2010999999999994
3626,BrF4Rb,3.3946999999999994
3389,FNTi,0.6611000000000002
5294,Te,0.0
4836,C3N4,2.2661
3498,Li2O3Te,3.9402
3186,HfSeSi,0.0
5236,PdTe2,0.18080000000000007
4171,O4PSb,4.3643
3406,Te3Zr,0.0
4952,Br2Co,0.04310000000000036
4923,H2Mg4O5,2.503
3108,CuMgO2,0.0
3144,Bi2O3,2.9846
4447,Cl2MgO,2.5719
3036,Bi2O6TiZn,0.0
4963,H4Cl2O2Sr,4.657
3722,Br2Ti,0.0
3719,Se2Ti,0.0
4956,H4O3Sr,3.7966999999999995
5085,Bi7Cu4S12,0.0
4434,AgFO2,1.0928000000000004
4730,PS4Sc,1.9038999999999997
3116,SSb,0.0
3131,F3Sc,6.0864
5503,InSiTe3,0.8586999999999998
3128,CrSe2,0.0
3734,Cl2Mn,1.7650000000000001
4176,H2MgO2,4.0147
5220,BrMnS2Sb,0.24619999999999997
5628,Bi4I,0.0
3700,ClCuHgS,0.6755
4098,H2Mg3O4,2.5671999999999997
5849,IN2O6,0.0
5193,Br2Zn,3.4767
3654,Ba2N,0.0
5450,ClReSe,1.6093000000000002
5797,AgF7Ru,0.0
5034,H2CuO2,0.24160000000000004
3165,PbTe,1.2349999999999999
