,Volume,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,sum:hhi_r,sum:sound_velocity,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
16,147.30175853467367,27.2,168.81229043589752,219.2,25.02,60.846360000000004,542.96,9.56,24400.0,20600.0,8456.0,139545.4144,3233984.0584,3174400.0,3894400.0,26890.657600000006,715642.24,137.41585090194016,156.8494844960443,154.1031743511678,164.66576673764393,160.99506400430255,152.46147498087424,163.04286716848043,140.48117518242918
10,107.15035453010964,29.0,164.2141685010688,194.2,24.88,69.368601896,589.206,37.1793636983576,17000.0,17000.0,10598.7476499536,440456.509624,3313565.0176,5440000.0,5440000.0,43657.78165600001,773358.7769170223,74.26806765347327,98.33131156670012,104.66262332702898,92.85582550978958,81.0632712606895,103.3040760491979,110.18218837593426,102.64451838694504
93,158.67219390227805,24.0,165.4122904358975,218.4,25.119999999999997,52.88956,955.96,20.46758774072156,31600.0,21800.0,14636.0,1230724.4544,3244900.2183999997,4182400.0,3769600.0,164029.84959999996,4053336.6400000006,134.7625947460324,136.14613380770598,134.06743664263627,139.67566754227533,132.33700707136575,148.2332930036927,161.80135851492395,144.66665691014612
111,95.34692245017716,28.0,142.0141685010688,193.0,16.42,66.801041896,1017.606,55.986951439079164,16300.0,12900.0,14698.7476499536,1493115.8488240002,45791.577600000004,4790400.0,3865600.0,209567.82517599998,2118569.547732241,72.10948003221112,78.49721069218211,78.09578320801475,74.77033671778628,67.07145450537843,76.83768888561683,106.83808474252731,91.48021235930173
42,192.24203304826787,36.0,187.333184882848,235.20000000000002,34.08,82.53909039999999,740.86,4.86,39600.0,56400.0,26780.231284416506,315739.3384,6313825.360000001,1094400.0,4406400.0,112329.0904,332987.0354527346,201.74402043490863,198.89973127656611,199.02601850118026,198.9068261514825,217.74878774663364,199.00780778251186,237.16201615149487,206.4765427093136
118,53.4546115662245,14.0,152.320852186845,201.8,15.8,28.784000000000002,1010.114,83.06362451031336,7800.0,4400.0,9672.5,1429665.8486640002,734882.1496,1910400.0,217600.0,522342.48960000003,4043033.5,89.58318237402807,77.9087973547578,71.54785465543574,78.23569559335134,84.75435186860356,66.58469503280979,91.32859371597092,61.13478218193001
127,125.87683217243614,35.2,154.0,239.8,19.82,82.3994,1906.6943999999999,28.540000000000003,25500.0,23700.0,48328.26238106898,3387479.24199424,4406400.0,1516000.0,513600.0,673457.4400000001,741502.584913204,224.7403972986392,189.5182142636179,166.8726573371205,146.05157353171788,180.28264159635182,155.7847657132229,162.33317082609616,129.23888267827894
96,94.58888504929534,31.6,152.06877047679092,198.6,16.98,75.856294,491.614,55.80362451031336,25800.0,25600.0,10119.429872988836,403637.466664,46291.98960000001,6745600.0,6654400.0,47334.4224,1334066.9201482078,82.77532313750324,104.97466165200429,104.97932169092584,102.8349644966836,96.34126093873023,95.95523287571683,118.82573913375157,106.399430611099
60,67.00355961656858,16.8,163.92085218684497,199.6,19.62,36.000333999999995,1266.5140000000001,80.28362451031336,23400.0,35000.0,12865.0,3650109.6294640005,2277266.5335999997,9702400.0,13756000.0,1106630.4384,1627481.5,84.84457424751055,56.79912279255344,57.129099039403364,63.98039604664862,74.91476384654463,70.30776674023197,95.12445965182432,71.07962349441144
0,132.4521624992106,23.4,164.2122904358975,215.4,22.34,50.66330000000001,849.56,21.28,7400.0,11600.0,5218.0,766692.5824000001,2261233.6744,25600.0,5977600.0,171099.66399999996,1088360.6400000001,125.23603682298203,127.33059607534602,124.42146699509037,130.60009394107078,127.11195684504126,127.77241136703252,144.64681017026476,119.8165474742766
