material_id,Volume,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,sum:hhi_r,sum:sound_velocity,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity
60,67.00355961656858,16.8,163.92085218684497,199.6,19.62,36.000333999999995,1266.5140000000001,80.28362451031336,23400.0,35000.0,12865.0,3650109.6294640005,2277266.5335999997,9702400.0,13756000.0,1106630.4384,1627481.5
0,132.4521624992106,23.4,164.2122904358975,215.4,22.34,50.66330000000001,849.56,21.28,7400.0,11600.0,5218.0,766692.5824000001,2261233.6744,25600.0,5977600.0,171099.66399999996,1088360.6400000001
84,187.4396857101914,37.6,176.81229043589752,223.2,28.88,89.29109039999999,736.08,10.180000000000001,26400.0,21600.0,8110.555937922587,483886.5216000001,6692619.602400002,3038400.0,3782400.0,27614.887600000002,633278.2946031297
28,93.62157646373184,18.599999999999998,171.81416850106882,192.60000000000002,29.0,42.578086152,472.54600000000005,29.659363698357602,23200.0,22000.0,27716.051237829786,229458.25194400002,6634661.929599999,3409600.0,3760000.0,19668.49596,109184.95545768301
40,187.65813437794742,38.2,177.333184882848,228.60000000000002,28.42,87.99956,861.94,17.47858576810716,38400.0,57400.0,19835.67534649392,615180.0024000001,3071331.3599999994,1166400.0,3618400.0,4010.658144000001,352171.8765812309
86,65.40869502383295,23.200000000000003,164.520852186845,201.0,19.64,53.608636000000004,1403.1140000000003,86.28362451031336,5500.0,13500.0,6352.5,4748834.244664,2275365.9976,576000.0,7836000.0,1593184.5504000003,1558313.5
24,98.09953691058023,22.8,167.46877047679092,198.2,24.72,52.073854,337.814,47.70362451031336,37200.0,36900.0,16625.144809483256,117327.69306399999,3333518.7016000003,6001600.0,5906400.0,21391.494400000003,1333846.5521969828
25,139.757090909741,30.599999999999998,170.6122904358975,218.4,27.279999999999998,69.4247304,830.48,20.98,11700.0,10400.0,5395.2779689612935,760614.4576,6772927.6744,3362400.0,3865600.0,172436.98239999998,1161208.4963304792
23,177.6115625775598,31.2,174.2122904358975,223.0,28.48,71.5930904,842.08,12.580000000000002,26200.0,21200.0,10590.555937922587,799537.5616,6628135.8184,3037600.0,3817600.0,16964.502400000005,1101970.7200821694
115,134.84725792156624,27.0,166.81229043589752,216.6,24.46,59.937200000000004,832.36,21.16,11700.0,10400.0,4518.0,761084.0064,3251695.6744000004,3362400.0,3865600.0,171992.54559999998,898968.64
67,117.84079756393193,23.4,163.6122904358975,215.0,23.82,51.07276,903.36,29.16,12100.0,10500.0,5488.0,1015922.8864,3274742.0824000007,3205600.0,3840000.0,214319.25759999995,1707715.84
44,140.87164651875094,34.2,169.73318488284798,222.8,26.7,77.74516,959.34,29.64,17500.0,28200.0,12272.83767324696,943585.5304,3174631.6,1996000.0,4406400.0,186643.276,515545.2589415035
15,130.49084769010804,22.6,165.0122904358975,220.0,23.878,49.351168799999996,782.36,25.16,12100.0,10800.0,7068.0,605820.0063999998,3181152.1383999996,3205600.0,3782400.0,277432.1664,3669696.6400000006
95,70.35268214247002,24.200000000000003,161.320852186845,211.4,18.36,55.646074,1439.114,81.58362451031337,13000.0,12600.0,6052.5,3693496.436664,4586637.4936,9640000.0,10345600.0,1094507.8336,1542133.5
