ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),sum:thermal_conductivity (W / m / K),ave:heat_capacity_molar (J / mol / K),ave:bulk_modulus (GPa),min:num_valance,perimeter_area_ratio (AA^-1),max:icsd_volume (cm^3 / mol),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
3271,0.7782610380081392,45.0,67.0,131.8,2.0,1.0,1363.0,113.5,1.1246602499999985,1050.0,1.0,1.6126472769905735,2.113227553981147,505.1,147.1,26.99,25.265,78.0,302.1,160.0,0.2505806137119593,83.0,370.65,454.0,25.929499999999997,51.5,2.0,1.4019026576227895,27.05,15.15,213.9
920,0.820948573532086,9.6,17.0,142.0,0.0,0.0,1910.0,17.833333333333332,0.3293888888888885,2350.0,0.0,0.17168333333333335,0.307,1002.0,179.1,28.07,57.895,15.833333333333334,334.5,18.0,0.003662120055555555,25.0,364.33333333333337,107.0,27.813333333333336,14.833333333333332,2.0,0.7557553697022735,62.88,35.8,179.5
471,0.5001401677210175,65.0,3.0,49.8,4.0,3.0,1263.0,10.0,0.13229999999999997,4525.0,3.0,1.609407,1.970876,722.7,196.6,25.73,28.924999999999997,82.5,314.4,31.0,0.3919795138830001,92.0,413.85,240.0,25.52,88.75,5.0,0.6705686526282888,33.94,17.4625,152.35
5733,0.3964800286770229,22.0,3.0,32.4,4.0,3.1999999999999997,876.0,28.26666666666667,1.2920862222222214,3780.0000000000005,0.8266666666666667,1.5692378666666666,1.970876,722.7,196.6,25.73,28.380666666666666,88.93333333333334,423.0,60.0,0.2018621200679822,92.0,437.46666666666664,424.0,24.74866666666667,69.77931290120259,14.0,1.09771803059194,33.94,17.213333333333335,140.2133333333333
4646,0.4043614166220048,7.7,0.205,10.5,4.0,2.56,717.824,15.171199999999999,1.4172370303999993,1212.0,3.686400000000001,1.3556085792,2.07710403,386.0,177.8,25.929,23.9084,77.12,317.5,200.0,0.9255377450223916,94.0,373.43600000000004,379.28,23.58436,40.808,2.0,0.676477085496657,44.19,14.508,148.096
1768,0.8473147853211995,7.7,0.205,10.5,4.0,2.4,717.824,21.723000000000003,0.8664000000000018,4120.0,3.84,1.613224818,2.07710403,386.0,277.17,24.6,22.716,77.6,316.5,54.0,0.32277588498861143,94.0,368.7,217.23,23.46,72.62,5.0,0.8022376630156447,25.76,13.62,278.3
5665,0.6745186270441641,76.10604085052228,0.02658,15.579091192355275,4.0,2.2857142857142856,90.19,138.58661714285714,6.112147102040815,1328.5714285714284,3.9183673469387754,1.3043877142857143,1.4611135,54.8,249.229,29.378,15.558571428571428,86.14285714285714,309.6,400.0,0.04944998041034693,101.0,344.0857142857143,3880.42528,27.23742857142857,127.77488048601272,6.0,0.584469281131163,17.36,11.39,213.64519496706015
4769,0.38547084728935227,7.7,0.205,10.5,4.0,2.6666666666666665,717.824,17.136666666666667,0.02583589131784111,2164.4056655244017,3.5555555555555554,1.5680693533333334,2.07710403,386.0,277.17,23.04097142245397,21.913333333333334,82.33333333333333,299.8,51.0,0.5182326040982758,94.0,368.93333333333334,205.64,22.813657140817988,73.26590130585654,6.0,0.7068448840181788,25.76,13.166666666666664,202.0
767,0.3386437978303044,7.7,0.205,10.5,4.0,3.3333333333333335,717.824,4.004166666666666,0.9827222222222223,1266.6666666666667,2.2222222222222223,1.801920025,2.07710403,386.0,277.17,25.36,25.348333333333336,86.50000000000001,312.4,23.0,0.3786311830392002,94.0,388.31666666666666,48.05,23.143333333333334,35.16996974266433,4.0,0.735598987166247,25.76,15.266666666666667,103.25
1571,0.731194172121156,65.0,3.0,49.8,4.0,2.2857142857142856,1263.0,48.14285714285714,0.24982040816326428,3242.857142857143,2.204081632653061,1.0160897142857144,1.970876,429.32,196.6,26.74,29.482857142857142,84.57142857142856,446.3,82.0,0.6837126385410612,92.0,446.59999999999997,674.0,26.307142857142857,73.11024505173474,13.0,0.6160013362169229,33.94,17.757142857142853,149.97142857142853
