ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto
3755,97.0,810.9,25.0,148.025,0.0,0.5,365.0,39.89,147.36979572486484,457.5,4.3610368,6.0649999999999995,17.994999999999997,576.0,1621.8,314.8,0.0,3.8054993325,29.78,9.0,hP2_156_a_b
3757,98.0,731.925,0.75,107.67,4.6875,0.25,317.5,62.605,150.66648110356,331.9,21.513529200000004,5.1875,16.642500000000002,51090.75,5855.4,302.3,0.0,3.6236074027500003,51.8575,67.6875,hP8_162_d_k
3758,101.0,347.69999999999993,696.8888888888889,105.08606079490352,0.0,0.0,184.46666666666664,27.651999999999997,145.1342802076055,90.19,6.710114,2.801333333333333,14.906666666666666,56291.30888888889,2086.2,350.0,0.0,2.8226751356666666,17.11,672.2222222222222,oP6_2a_59_b
3760,101.0,468.88,779.76,22.307454715413165,0.0,0.0,114.02,27.4828,143.32085218684497,90.19,11.982681,2.2052,15.595999999999998,14206.7736,4688.8,350.0,0.0,2.9944100306,19.024,674.16,mP10_2a_3a_4
3761,102.0,315.065,1722.25,84.47,0.0,0.0,259.6,28.811999999999998,152.51180708422402,85.01,7.556379400000001,4.0785,14.209999999999999,62200.36,1260.26,336.4,0.0,3.2316242335,22.475,1936.0,tP4_129_c_c
3762,100.0,786.8299999999999,748.6666666666666,202.48861852424682,14.222222222222223,0.0,494.26666666666665,29.477666666666664,133.11793913105416,77.4,5.27745,7.059999999999999,14.983333333333333,375596.7622222222,4720.98,312.4,0.0,3.4478362166666665,25.006666666666668,1900.6666666666665,hP6_164_c_d_d
3763,101.0,347.69999999999993,696.8888888888889,105.08606079490352,0.0,0.0,184.46666666666664,27.651999999999997,145.1342802076055,90.19,3.355057,2.801333333333333,14.906666666666666,56291.30888888889,1043.1,350.0,0.0,2.8226751356666666,17.11,672.2222222222222,oP3_25_a_bc
3765,99.0,799.9,75.0,166.3075,1.6875,0.0,203.325,31.73675,144.5153630448719,238.6,24.80395,3.535,15.1725,33851.251875,6399.2,284.0,0.0,3.507310087,25.2575,285.1875,hP8_162_d_k
3766,101.0,558.929411764706,1599.3079584775087,82.6148664434613,3.633217993079584,0.0,891.3411764705882,28.767176470588232,160.54817631044656,90.19,26.816450459269987,8.786823529411766,19.49823529411765,1732708.7271280282,9501.8,296.1,0.000930363,3.2773435979411767,26.93529411764706,2871.653979238754,tP17_123_2h_ag_fgi_g
3767,95.0,2729.333333333333,754.8888888888889,510.2606917205154,18.0,0.0,915.7,15.378,122.33333333333333,3611.0,3.6976839999999997,9.133333333333333,9.853333333333333,1418871.8599999999,16376.0,334.5,0.0,2.8958742146666667,15.463333333333331,2782.8888888888887,oP6_51_e_e_f
