ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto,exfoliation_energy_per_atom (eV/atom)
4241,102.0,478.77666666666664,472.88888888888886,118.31666666666666,0.0,0.0,157.4333333333333,29.491666666666664,139.45914385387016,85.01,16.4932534,2.859,14.073333333333332,22800.562222222223,2872.66,336.4,0.0,3.3100594873333335,22.566666666666666,702.0,tP6_129_b_c_c,0.058052648333333234
4242,92.0,869.62,47.040000000000006,42.839999999999996,0.0,0.0,386.59999999999997,25.294,151.6,876.0,15.041256,5.024,17.456,10685.04,8696.2,423.0,0.0,3.8830587806,28.971999999999998,86.64,mP10_11_2e_3e,0.11492476800000029
4244,92.0,1163.4666666666667,56.888888888888886,189.86666666666665,0.22222222222222224,0.3333333333333333,470.66666666666663,25.773333333333333,153.0,1263.0,6.069752,5.833333333333333,16.67,0.2222222222222222,3490.4,275.4,0.0,3.777520986333333,27.659999999999997,0.8888888888888888,hP3_164_a_d,0.14567065999999995
4246,101.0,745.4999999999999,1168.2222222222222,141.50969706411843,18.0,0.0,1001.9,36.77933333333333,158.31367058704598,90.19,9.6543006,9.617333333333333,20.986666666666665,1300063.0199999998,4473.0,334.5,0.0,3.686854273333333,30.946666666666662,2589.555555555555,tP6_129_b_c_c,0.04751008166666626
4252,94.0,1186.5555555555554,192.88888888888889,216.8222222222222,8.469135802469134,0.0,360.22222222222223,23.655555555555555,133.0,717.824,13.66862418,5.377777777777777,13.715555555555554,101964.61728395062,10679.0,289.9,0.0,3.5575724087777774,22.731111111111108,735.283950617284,mC18_12_3i_a_i,0.08335909555555521
4257,101.0,968.7636363636365,892.5619834710744,224.05752086716745,8.876033057851238,0.0,242.23636363636365,28.183090909090907,146.2373965901151,90.19,26.298336,3.974181818181818,15.459090909090909,136668.64595041322,21312.8,309.6,0.0,2.8039775713636366,17.275454545454544,2040.595041322314,mP22_13_4g_e_g,0.03295691954545443
4259,93.0,1416.333333333333,80.22222222222223,292.46666666666664,10.88888888888889,0.0,450.99999999999994,25.362000000000002,143.0,958.1,4.36334,6.879999999999999,14.563333333333333,95048.0,4249.0,317.0,0.0,3.5888688776666666,25.756666666666664,555.5555555555555,hP3_187_a_h,0.06931327166666623
4262,103.0,146.344,1164.2815137599182,18.41323647694211,0.0,0.4,90.28399999999999,28.4896,120.88056812456333,20.28,6.981049555319901,2.0595172,14.112000000000002,24782.307384,731.72,284.8,0.0,2.6765900486,24.07,1704.2400000000002,hP5_164_a_d_d,0.07484865200000002
4263,101.0,542.1999999999999,512.0,84.05272746157017,5.555555555555555,0.0,222.79999999999998,28.358666666666664,142.46761354093886,90.19,10.984515639513322,3.668,14.023333333333332,84954.42000000001,3253.2,296.1,0.000620242,2.6732080203333335,15.639999999999999,1568.0,oP6_2a_59_b,0.053208781666666205
4275,100.0,944.0633333333333,820.6666666666666,208.20528519091346,14.222222222222223,0.0,417.5666666666666,43.51466666666666,138.85176937935998,77.4,3.955176400000001,6.783333333333333,15.586666666666666,198047.90888888887,5664.38,314.1,0.0,3.5081041886666666,36.74666666666666,1804.6666666666665,hP6_164_c_d_d,0.03613054166666707
4287,101.0,656.2857142857142,617.3469387755102,142.55649370882517,10.0,0.0,284.7857142857143,28.095714285714287,142.7153002224345,90.19,16.711135,4.115714285714286,14.777142857142858,179674.87551020412,9188.0,314.4,0.0,2.7258542730000004,16.365714285714287,1544.6938775510203,mP14_11_2e_5e,0.03802255142857103
4294,94.0,952.0666666666665,450.0,172.89999999999998,0.0,0.6666666666666666,274.0,24.466666666666665,138.33333333333331,717.824,9.36220806,5.486666666666666,12.023333333333332,8978.0,5712.4,314.8,0.0,3.371748522333333,19.953333333333333,355.55555555555554,mP6_2a_4_a,0.1505293483333332
4295,92.0,638.8771428571429,13.061224489795917,99.88571428571427,0.0,0.0,520.1428571428571,26.018571428571427,161.71428571428572,1263.0,10.45438,6.8428571428571425,19.11714285714286,6037.551020408162,4472.14,446.3,0.0,3.979215805571428,31.71142857142857,3.265306122448979,aP7_1_2a_5a,0.10918490142857129
