ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),decomposition_energy (eV/atom),min:evaporation_heat (KJ / mol),ave:num_p_valence,max:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),ave:electron_affinity (eV),max:electron_affinity (eV),var:num_p_valence,ave:hhi_r,var:heat_capacity_molar (J / mol / K),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,max:mendeleev_number,bandgap (eV),min:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),max:thermal_conductivity (W / m / K),sum:thermal_conductivity (W / m / K),ave:vdw_radius_uff (pm),var:electron_affinity (eV),ave:bulk_modulus (GPa),perimeter_area_ratio (AA^-1),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
3513,0.5980848278430906,65.0,0.02658,0.026467740192307687,15.579091192355275,4.0,4.0,90.19,0.9414784615384616,1.6179635,1.970876,0.0,1853.846153846154,2.8348197869822482,54.8,196.6,29.378,22.46153846153846,98.23076923076923,101.0,2.6005000000000003,350.0,28.25553846153846,3.0,24.47844,379.8461538461538,0.05535432562500003,72.68879751190003,0.48974022440409,16.0,26.108601594707498
4522,0.5263882480094451,65.0,0.02658,0.01589119125000682,15.579091192355275,3.1111111111111107,4.0,90.19,26.906608888888886,1.3497570511111112,1.970876,2.765432098765432,1766.6666666666665,4.678169283950619,54.8,196.6,29.378,18.31222222222222,90.88888888888887,101.0,2.4364999999999997,287.2,27.87422222222222,139.0,484.31896,348.8222222222222,0.1438843235848631,103.51513834479263,0.7705622916209841,13.4,124.70828301712574
5906,2.7054776822935787,2.5,0.0277,0.18238769083333395,6.54,3.833333333333333,5.0,85.01,11.018466666666667,2.5055068,3.4011897000000006,3.472222222222222,3000.0,4.576343555555553,53.53,79.335,31.304,32.358333333333334,84.0,102.0,0.0,336.4,30.29933333333333,58.0,198.3324,365.66666666666663,1.621857322985154,36.782626331508446,1.0698123381874134,24.266666666666666,45.66
4222,0.27344793302247083,46.798939497262666,0.02658,0.11313135181818001,6.54,3.5454545454545454,5.0,85.01,21.83822545454545,2.338403763636364,3.4011897000000006,4.793388429752066,1381.8181818181818,7.348364628099166,53.53,79.335,31.304,15.24,90.72727272727272,102.0,2.7605000000000004,291.2,29.43690909090909,80.0,240.22048,325.30909090909086,2.093676500719007,83.06351066648736,0.7553271872605013,14.090909090909092,98.30537192657773
3934,0.2921755928910913,1.1,0.0089,0.006953851500000496,15.579091192355275,3.25,5.0,90.19,80.015515,2.2108955,3.612725,3.6875,750.0,9.120577687499985,54.8,121.302,33.949,20.1825,92.75,101.0,1.1327999999999996,329.3,29.53075,320.0,640.12412,356.0,0.7747560186521252,93.32802042526114,0.7702640181916496,14.225,97.89204559617764
3346,0.916445591601495,25.0,0.02658,0.10472940928571539,15.579091192355275,2.571428571428571,4.0,90.19,10.958045714285715,1.6469313551232299,2.2256767429313045,3.1020408163265305,1442.857142857143,4.336485428571427,54.8,61.38,29.378,19.90142857142857,90.85714285714285,101.0,2.4807,270.5,28.099999999999998,60.0,76.70631999999999,338.42857142857144,0.13994046044390462,64.42315744367099,0.7086781839762561,14.17142857142857,72.47376639563159
4990,0.2904349810633307,65.0,0.02658,0.05867470317708268,15.579091192355275,3.25,4.0,90.19,7.1416125,1.2294861875,1.970876,1.6875,1425.0,60.01533168750001,54.8,196.6,29.378,17.03,96.125,101.0,3.7294,350.0,24.349249999999998,27.0,228.5316,376.7,0.3277518922773711,135.69127553157642,0.4197891748380169,12.4625,142.08693199522205
1803,0.4464023321451328,42.0,24.0,0.12692581543650805,162.4,2.6666666666666665,3.0,1730.0,27.666666666666664,0.9345,1.046,0.5555555555555556,3916.666666666667,0.16501388888888885,576.6,182.2,26.32,29.93,86.33333333333334,88.0,0.7184,434.7,25.41166666666667,46.0,664.0,440.78333333333336,0.06216125000000001,42.166666666666664,0.3925201939695789,18.2,189.73333333333332
771,0.322709118033107,1.1,0.0089,0.042927670000000084,20.41,3.75,5.0,238.6,4.256675,2.78629375,3.612725,4.6875,1400.0,10.320292687499991,172.2,121.302,33.949,30.03,80.5,99.0,3.7199,334.5,32.09425,17.0,34.0534,379.65,2.048965832929688,11.075,0.7642989584076619,18.974999999999998,107.0575
1687,0.7345820531900555,65.0,3.0,0.09545189249999897,49.8,2.0,4.0,1263.0,5.4,2.270453409878331,2.5700308197566617,4.0,3350.0,0.08702499999999996,722.7,196.6,26.32,23.07,76.0,92.0,0.0,296.1,26.025,7.8,21.6,371.55,0.08974662450940943,92.5,0.9410180518598247,13.945,135.4
5933,0.9596325922293748,43.0,46.0,0.42628758499999986,162.4,1.0,1.0,1730.0,46.0,0.377,0.377,0.0,6500.0,0.0,576.6,182.2,26.32,28.53,78.0,78.0,0.0,434.7,26.32,46.0,46.0,434.7,0.0,43.0,1.2755338112188785,17.2,162.4
4892,0.03958179142076109,7.7,0.205,0.23650469291666543,10.5,3.5,4.0,717.824,4.1025,1.5097330150000001,2.07710403,0.25,3500.0,1.9881000000000004,386.0,209.6,25.52,30.57,90.5,94.0,0.0,403.5,24.11,8.0,98.46,420.25,0.3219098686621303,19.35,0.4608819553178294,18.4,91.25
1109,0.25088090492919163,1.9,0.12,0.012597276250000178,29.56,4.0,5.0,331.9,11.59,2.6169411500000006,3.3635882000000006,3.0,6800.0,457.01191874999995,265.9,111.85,75.69,55.987500000000004,93.0,98.0,1.7240000000000002,418.9,63.3475,46.0,92.72,422.84999999999997,1.6724454518211085,12.175,0.6681345981756063,21.925,62.769999999999996
5524,0.44639406461469144,65.0,3.0,0.08676353874999965,49.8,2.0,4.0,1263.0,41.5,1.060938,1.970876,4.0,3150.0,0.09922499999999969,722.7,196.6,25.73,22.86,76.5,92.0,0.0,291.2,25.415,80.0,166.0,369.1,0.8279871638440001,117.5,1.1111443497597293,13.8,194.9
2228,1.2696705351578215,2.5,58.0,0.48262022000000004,75.8,0.0,0.0,961.0,129.0,0.255235,0.48592,0.0,3750.0,6.581790250000001,312.2,80.9,31.06,68.64,12.5,16.0,0.0,339.9,28.4945,200.0,516.0,375.65,0.05321556922500001,9.75,1.0149141930572405,42.9,114.69999999999999
2096,0.2672614585771464,1.1,0.0089,0.0,20.055855572740406,4.6,5.0,77.4,0.012286000000000002,2.6101800000000006,3.612725,0.64,900.0,3.724899999999999,63.29,121.302,33.949,27.776000000000003,99.2,100.0,1.1717000000000004,366.0,32.983999999999995,0.02583,0.12286,388.96,4.020385908099999,12.352976575541803,0.6400774069135627,18.42,20.33917111454808
2721,0.6630914666918213,31.0,8.0,0.0,172.0,2.0,3.0,1883.0,13.0,0.632908,0.942362,2.0,4866.666666666667,0.00980000000000008,544.5,209.6,25.73,31.06,74.66666666666666,87.0,0.0,314.1,25.589999999999996,23.0,39.0,396.0333333333333,0.191523556232,57.33333333333333,1.374016950827965,18.733333333333334,306.3333333333333
5394,0.879500485707911,7.7,0.449,0.1828013386666676,41.95,3.2,5.0,457.5,21.297800000000002,2.1186342710639803,3.0590368,2.96,4820.0,133.35439096,386.7,106.757,54.43,31.82,89.0,97.0,0.6362999999999999,284.8,31.339200000000005,97.0,212.978,402.56000000000006,0.4947234254399651,19.46,0.6705603614451109,18.620000000000005,78.49000000000001
3068,0.45199177589716305,33.0,0.02583,0.36459200258000024,20.055855572740406,2.6666666666666665,3.0,77.4,46.683886666666666,-0.5126269999999999,1.262119,0.2222222222222222,500.0,94.36632199999997,63.29,472.44,29.124,17.009999999999998,98.33333333333331,100.0,4.846,366.0,22.254999999999995,140.0,280.10332,372.3666666666667,1.5748616822579997,49.243255251806005,1.2081076077393234,13.3,233.13126210234236
5817,0.2513048299327783,1.1,0.0089,0.0,20.41,3.75,5.0,238.6,4.006675,2.75654375,3.612725,4.6875,1875.0,13.321507687499995,172.2,121.302,33.949,28.027500000000003,79.0,99.0,3.8438,329.5,31.841749999999998,16.0,32.0534,378.4,2.1991389985546874,15.075,0.7252243373520388,17.775,98.4825
2428,0.46030626812506414,46.798939497262666,0.0277,0.3921096199999985,6.54,3.333333333333333,5.0,85.01,11.685133333333333,2.2834598,3.4011897000000006,5.555555555555555,2000.0,4.528043555555554,53.53,79.335,31.304,29.64,73.0,102.0,5.8589,336.4,29.79933333333333,35.0,70.1108,345.6333333333333,2.4986402587080208,55.35945105363675,0.6114149532547223,22.633333333333333,52.36
5706,0.26985404971745586,7.7,0.02658,0.040913307450979985,10.5,3.5294117647058827,4.0,90.19,6.878468235294117,1.4651601817647062,2.07710403,1.6608996539792387,976.4705882352941,7.337315709342562,54.8,159.3,29.378,18.888823529411766,91.76470588235294,101.0,1.1299000000000001,245.1,27.669764705882354,85.0,233.86792,351.1764705882353,0.160301226436786,65.13955824742749,0.516280413304207,13.879411764705882,48.61465260636842
5080,0.26980440694647023,76.10604085052228,0.02658,0.18109377333333398,15.579091192355275,2.6666666666666665,4.0,90.19,31.351053333333333,1.1960756666666665,1.4611135,3.5555555555555554,1699.9999999999998,8.074840888888886,54.8,249.229,29.378,15.576666666666664,86.33333333333333,101.0,1.021,302.3,27.368666666666662,94.0,94.05316,334.09999999999997,0.14049010619605556,104.07069390034818,1.565227239121079,11.743333333333332,124.38606079490351
3197,0.3222785737298625,7.7,0.205,0.10616327214285803,10.5,2.571428571428571,4.0,717.824,84.40285714285713,1.6420078167600332,2.319978597320232,2.816326530612245,1128.5714285714284,1.0158489795918373,386.0,130.4,25.39,21.635714285714286,87.42857142857142,94.0,1.6313,276.3,23.512857142857143,235.0,590.82,398.58571428571423,0.5915858890693657,36.114285714285714,1.2544417478982994,13.028571428571427,103.57142857142858
